traffic_density,weather_score,historical_delay,signal_status,delay_minutes
0.14967141530112327,0.8930867849414408,0.0,1,18.970492827707865
0.13189021846893834,0.9139520646100069,0.0,1,21.87807737007038
0.05305256140650479,0.9271280021792982,0.0,0,5.165502059372962
0.007591716225289508,0.76937254936532,0.0,0,11.123231532845788
0.0,0.9157123666297637,0.0,0,3.1219413976922734
0.0,0.8685262519537875,0.0,0,7.139653375211592
0.04556172754748174,0.9055461294854933,0.0,0,5.455577517122647
0.1947439821046639,0.9145517000631092,0.0,0,11.082088801744002
0.09865027752620661,0.847114453552205,0.0,0,10.073676586818198
0.13893489132561232,0.836744044303868,0.0,0,14.639058852623798
0.0,0.9098430617934562,0.0,2,25.14198477830404
0.18817610389486106,0.8495457328567446,0.0,0,10.87408374301833
0.05393612290402125,0.9528561113109458,0.0,0,3.310656967469342
0.1134428882628022,0.9291061397356519,0.0,1,20.440028257629244
0.01607824767773615,0.8845393812074392,0.0,1,13.0906418917913
0.20996469757848205,0.8911133939364673,0.0,0,12.844419467672662
0.1812525822394198,0.9678120014285412,0.0,1,18.14008349368959
0.09241962549718147,0.9486481766877894,0.0,0,8.828530647045458
0.09641739608900485,0.9782321827907003,0.0,0,5.712453579808781
0.0939135912525254,0.8290624770704299,0.0,0,12.96965257266696
0.0780328112162488,0.9178556285755873,0.0,0,6.007126933986492
0.17437112837712268,0.8893919289144187,0.0,0,11.439349679572901
0.1915402117702074,0.9164375554829842,0.0,1,24.91220607341832
0.11755532939548327,0.8845355726777712,0.0,0,11.512397001034147
0.06078918468678424,0.8268242525933941,0.0,1,14.316487714542607
0.13455179438887663,0.8802241774209854,0.0,0,10.39707273998562
0.0838714288333991,0.920202542840727,0.0,0,5.862667251179628
0.24039587386592937,0.899072459774418,0.0,0,11.296651917424189
0.10602302099410266,1.0,0.0,0,7.196429038631161
0.07409713552611095,0.87126453961933,0.0,0,7.982952791784771
0.21428228145150208,0.9375966516343387,0.0,0,10.839736022330534
0.23840157189326783,0.9702602652939094,0.0,0,15.212906423897238
0.0009463674869311656,0.8716851135198614,0.0,0,9.300511201238328
0.18735894156353794,0.9004572172870069,0.0,0,11.749562550266226
0.0,0.9236796215317591,0.0,0,5.530707785970698
0.08390626231369366,0.8805867800511693,0.0,0,7.16762234335497
0.18135172173696698,0.8384567841783023,0.0,1,26.828138392963822
0.3539162716269333,0.8837754521085553,0.0,1,29.23165386762966
0.12598827942484236,0.9390911435888656,0.0,0,11.465590497856702
0.013285384395044675,0.9308820422755573,0.0,0,7.03909570149529
0.12930724732986815,0.8642824290986816,0.0,0,11.593483044217221
0.0,0.9524673696160433,0.0,0,6.076190234547104
0.0025318329772678616,0.9393542301871226,0.0,0,5.460601133338623
0.2268389522403902,0.9212243122028225,0.0,0,15.31789989345495
